t	Alfa	omega	energia
0.023300	3.093539	4.029189	20493.527409
0.023400	3.093942	4.029315	20494.503840
0.023500	3.094345	4.029442	20495.479920
0.023600	3.094747	4.029569	20496.455648
0.023700	3.095150	4.029696	20497.431024
0.023800	3.095553	4.029823	20498.406049
0.023900	3.095956	4.029950	20499.380722
0.024000	3.096359	4.030077	20500.355042
0.024100	3.096762	4.030203	20501.329011
0.024200	3.097165	4.030330	20502.302628
0.024300	3.097568	4.030457	20503.275893
0.024400	3.097972	4.030584	20504.248806
0.024500	3.098375	4.030711	20505.221367
0.024600	3.098778	4.030838	20506.193576
0.024700	3.099181	4.030965	20507.165432
0.024800	3.099584	4.031092	20508.136936
0.024900	3.099987	4.031219	20509.108088
0.025000	3.100390	4.031346	20510.078888
0.025100	3.100793	4.031473	20511.049335
0.025200	3.101196	4.031600	20512.019429
0.025300	3.101600	4.031727	20512.989172
0.025400	3.102003	4.031854	20513.958561
0.025500	3.102406	4.031981	20514.927598
0.025600	3.102809	4.032109	20515.896282
0.025700	3.103212	4.032236	20516.864614
0.025800	3.103616	4.032363	20517.832593
0.025900	3.104019	4.032490	20518.800219
0.026000	3.104422	4.032617	20519.767492
0.026100	3.104825	4.032744	20520.734412
0.026200	3.105229	4.032871	20521.700979
0.026300	3.105632	4.032999	20522.667194
0.026400	3.106035	4.033126	20523.633055
0.026500	3.106439	4.033253	20524.598563
0.026600	3.106842	4.033380	20525.563718
0.026700	3.107245	4.033507	20526.528520
0.026800	3.107649	4.033635	20527.492968
0.026900	3.108052	4.033762	20528.457064
0.027000	3.108455	4.033889	20529.420806
0.027100	3.108859	4.034017	20530.384194
0.027200	3.109262	4.034144	20531.347229
0.027300	3.109666	4.034271	20532.309911
0.027400	3.110069	4.034399	20533.272239
0.027500	3.110472	4.034526	20534.234214
0.027600	3.110876	4.034653	20535.195835
0.027700	3.111279	4.034781	20536.157102
0.027800	3.111683	4.034908	20537.118015
0.027900	3.112086	4.035035	20538.078575
0.028000	3.112490	4.035163	20539.038781
